x,t=1.00e-01s,t=2.00e-01s,t=5.00e-01s,t=1.00e+00s
1.735999999999999981e-06,5.542239745070709760e+18,8.096757861315912704e+18,1.019900785720308531e+19,1.045784293542865715e+19
1.742999999999999871e-06,5.555024982200380416e+18,8.117465984496039936e+18,1.022638561378137498e+19,1.048604285034974822e+19
1.749999999999999974e-06,5.567747819010214912e+18,8.138085387799229440e+18,1.025365378722829722e+19,1.051413061942399590e+19
1.756999999999999864e-06,5.580408394510913536e+18,8.158616144673612800e+18,1.028081238584989082e+19,1.054210624286840832e+19
1.763999999999999967e-06,5.593006847151022080e+18,8.179058328330584064e+18,1.030786141792617677e+19,1.056996972089931981e+19
1.770999999999999857e-06,5.605543314816707584e+18,8.199412011744086016e+18,1.033480089171099853e+19,1.059772105373237248e+19
1.777999999999999960e-06,5.618017934831652864e+18,8.219677267649956864e+18,1.036163081543203430e+19,1.062536024158253261e+19
1.784999999999999850e-06,5.630430843956867072e+18,8.239854168545240064e+18,1.038835119729061888e+19,1.065288728466407014e+19
1.791999999999999953e-06,5.642782178390566912e+18,8.259942786687531008e+18,1.041496204546172928e+19,1.068030218319057306e+19
1.799000000000000055e-06,5.655072073768033280e+18,8.279943194094308352e+18,1.044146336809388442e+19,1.070760493737493709e+19
1.805999999999999946e-06,5.667300665161448448e+18,8.299855462542240768e+18,1.046785517330905088e+19,1.073479554742935962e+19
1.813000000000000048e-06,5.679468087079826432e+18,8.319679663566566400e+18,1.049413746920257946e+19,1.076187401356534989e+19
1.819999999999999939e-06,5.691574473468832768e+18,8.339415868460417024e+18,1.052031026384313754e+19,1.078884033599371059e+19
1.827000000000000041e-06,5.703619957710712832e+18,8.359064148274141184e+18,1.054637356527258214e+19,1.081569451492455424e+19
1.833999999999999932e-06,5.715604672624136192e+18,8.378624573814689792e+18,1.057232738150593331e+19,1.084243655056728678e+19
1.841000000000000034e-06,5.727528750464153600e+18,8.398097215644923904e+18,1.059817172053127168e+19,1.086906644313061171e+19
1.847999999999999925e-06,5.739392322922018816e+18,8.417482144083007488e+18,1.062390659030964429e+19,1.089558419282251981e+19
